timestamp_utc,timestamp_ph,segment_id,label,axis,duration_typical_s,duration_traffic_s,tti,distance_m,expected_distance_m,distance_check,speed_kmh,low_traffic_data
2026-08-01T22:33:19.183Z,2026-08-02 06:33:19 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,61,1.564,151,150,OK,8.9,
2026-08-01T22:47:37.127Z,2026-08-02 06:47:37 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,59,1.513,151,150,OK,9.2,
2026-08-01T23:02:52.097Z,2026-08-02 07:02:52 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,68,1.744,151,150,OK,8.0,
2026-08-01T23:17:02.746Z,2026-08-02 07:17:02 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,84,2.154,151,150,OK,6.5,
2026-08-01T23:32:44.961Z,2026-08-02 07:32:44 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,78,2.000,151,150,OK,7.0,
2026-08-01T23:46:53.532Z,2026-08-02 07:46:53 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,86,2.205,151,150,OK,6.3,
2026-08-02T08:30:35.318Z,2026-08-02 16:30:35 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,81,2.077,151,150,OK,6.7,
2026-08-02T08:45:21.083Z,2026-08-02 16:45:21 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,84,2.154,151,150,OK,6.5,
